Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Cd36_85170,orf19.5995	NG	0.0312036	0.410843	0.0759503	2.28612e-40	1341	293.996	1047	NA	125	93	32	NA	NA	0.114434	1:1:1:1:1:1	0.360806(0.503297:0.408791:0.17033)	NA	NA	NA	NA
Cd36_85180,orf19.5996.1	NG	NA	0.107839	-0	NA	435	99.5574	335.443	NA	10	10	NA	NA	NA	0.0246808	1:1:1:1:1:1	0.411494(0.531034:0.406897:0.296552)	NA	NA	NA	NA
Cd36_85190,orf19.5999	NG	0.032314	0.578249	0.0558824	0	12477	2606.96	9870.04	NA	1363	1050.83	312.167	NA	NA	0.146383	1:1:1:1:1:1	0.33826(0.414203:0.29428:0.306297)	NA	NA	NA	NA
Cd36_85210,orf19.6000	NG	0.0145965	0.387169	0.0377006	6.17052e-81	2265	500.953	1764.05	NA	177	151.5	25.5	NA	NA	0.0969989	1:1:1:1:1:1	0.269487(0.325783:0.299467:0.183211)	NA	NA	NA	NA
Cd36_85220,orf19.6001	NG	0.0576259	0.279185	0.206407	1.00307e-15	1194	274.546	919.454	NA	115	64	51	NA	NA	0.108571	1:1:1:1:1:1	0.313629(0.44335:0.3867:0.110837)	NA	NA	NA	NA
Cd36_85230,orf19.6002	NG	0.00499387	0.281402	0.0177464	8.02779e-26	786	183.262	602.738	NA	46	43	3	NA	NA	0.0694404	1:1:1:1:1:1	0.347328(0.437023:0.400763:0.204198)	NA	NA	NA	NA
Cd36_85240,orf19.6003	NG	0.132747	0.513979	0.258274	9.16723e-26	1707	372.712	1334.29	NA	301	138.667	162.333	NA	NA	0.215987	1:1:1:1:1:1	0.308429(0.339901:0.402299:0.183087)	NA	NA	NA	NA
Cd36_85250,orf19.6005	NG	0.0629248	0.451395	0.139401	1.30601e-48	2112	453.822	1658.18	NA	254	153.917	100.083	NA	NA	0.146399	1:1:1:1:1:1	0.295251(0.376344:0.364247:0.145161)	NA	NA	NA	NA
Cd36_85260,orf19.6007	NG	0.047513	0.263538	0.180289	1.11669e-14	1059	222.758	836.242	NA	88	49.5	38.5	NA	NA	0.0929532	1:1:1:1:1:1	0.262838(0.298319:0.333333:0.156863)	NA	NA	NA	NA
Cd36_85270,orf19.6008	NG	0.094596	0.304254	0.310911	3.12783e-21	2667	539.444	2127.56	NA	324	134.917	189.083	NA	NA	0.137003	1:1:1:1:1:1	0.229578(0.327075:0.246047:0.115613)	NA	NA	NA	NA
Cd36_85280,orf19.6966	NG	0.0514258	0.347238	0.1481	1.98192e-31	1713	349.886	1363.11	NA	165	97.25	67.75	NA	NA	0.111846	1:1:1:1:1:1	0.2432(0.328:0.292:0.1096)	NA	NA	NA	NA
Cd36_85290,orf19.6967	NG	0.169236	0.501389	0.337534	6.98121e-31	3201	639.957	2561.04	NA	622	234	388	NA	NA	0.235641	1:1:1:1:1:1	0.294773(0.4503:0.232219:0.201799)	NA	NA	NA	NA
Cd36_85300,orf19.6968	NG	0.0358221	0.516388	0.0693704	1.43985e-122	3417	734.519	2682.48	NA	368	274.167	93.8333	NA	NA	0.139125	1:1:1:1:1:1	0.315451(0.339914:0.366094:0.240343)	NA	NA	NA	NA
Cd36_85310,orf19.6970	NG	0.09374	0.351939	0.266353	1.07289e-10	891	178.891	712.109	NA	113	50.25	62.75	NA	NA	0.14558	1:1:1:1:1:1	0.227564(0.258242:0.262363:0.162088)	NA	NA	NA	NA
Cd36_85320,orf19.6971	NG	0.0701108	0.352412	0.198945	2.67586e-18	1221	248.643	972.357	NA	135	69.9167	65.0833	NA	NA	0.127598	1:1:1:1:1:1	0.231481(0.266667:0.275556:0.152222)	NA	NA	NA	NA
Cd36_85330,orf19.6972	NG	0.0539787	0.32988	0.163631	3.69085e-27	1635	343.767	1291.23	NA	159	91.75	67.25	NA	NA	0.111988	1:1:1:1:1:1	0.290112(0.366785:0.354352:0.149201)	NA	NA	NA	NA
Cd36_85340,orf19.6973	NG	0.0483855	0.370601	0.130559	5.07521e-75	3687	782.818	2904.18	NA	365	228.917	136.083	NA	NA	0.116798	1:1:1:1:1:1	0.297675(0.393025:0.31348:0.18652)	NA	NA	NA	NA
Cd36_85350,orf19.6975	NG	0.00669478	0.0868779	0.0770596	3.29061e-07	783	182.849	600.151	NA	19	15	4	NA	NA	0.0254194	1:1:1:1:1:1	0.409323(0.503831:0.450192:0.273946)	NA	NA	NA	NA
Cd36_85360,orf19.6976	NG	0.0399488	0.303928	0.131442	1.11112e-33	1785	405.518	1379.48	NA	155	101.333	53.6667	NA	NA	0.0999199	1:1:1:1:1:1	0.291191(0.356444:0.355628:0.161501)	NA	NA	NA	NA
Cd36_85370,orf19.6977	NG	0.0633465	0.372785	0.169928	5.83e-32	1923	374.176	1548.82	NA	204	109.917	94.0833	NA	NA	0.123557	1:1:1:1:1:1	0.221542(0.278714:0.219755:0.166156)	NA	NA	NA	NA
Cd36_85390,orf19.6979	NG	0.0347078	0.341578	0.10161	1.51583e-52	2244	506.915	1737.09	NA	198	139.083	58.9167	NA	NA	0.104029	1:1:1:1:1:1	0.316077(0.422348:0.366162:0.159722)	NA	NA	NA	NA
Cd36_85410,orf19.6980	NG	0.0489188	0.298302	0.163991	6.63999e-26	1671	356.533	1314.47	NA	150	87.75	62.25	NA	NA	0.102128	1:1:1:1:1:1	0.285953(0.382107:0.342809:0.132943)	NA	NA	NA	NA
Cd36_85420,orf19.6981	NG	0.0796195	0.299614	0.26574	5.77462e-18	1779	376.854	1402.15	NA	199	93.0833	105.917	NA	NA	0.126222	1:1:1:1:1:1	0.253028(0.35782:0.306477:0.0947867)	NA	NA	NA	NA
Cd36_85430,orf19.6982	NG	0.108416	0.292449	0.370716	4.42781e-08	1206	242.595	963.405	NA	156	58.75	97.25	NA	NA	0.145435	1:1:1:1:1:1	0.239415(0.32679:0.277136:0.114319)	NA	NA	NA	NA
Cd36_85440,orf19.6983	NG	0.136485	0.294467	0.463497	1.98588e-05	1122	210.44	911.56	NA	165	51.25	113.75	NA	NA	0.166115	1:1:1:1:1:1	0.224576(0.263771:0.276483:0.133475)	NA	NA	NA	NA
Cd36_85460,orf19.6984	NG	0.0488384	0.286878	0.170241	7.09492e-33	2235	483.109	1751.89	NA	198	115.167	82.8333	NA	NA	0.100292	1:1:1:1:1:1	0.285865(0.35:0.35:0.157595)	NA	NA	NA	NA
Cd36_85470,orf19.6985	NG	0.0816497	0.369188	0.22116	4.30519e-35	2613	522.186	2090.81	NA	314	152.25	161.75	NA	NA	0.139112	1:1:1:1:1:1	0.27885(0.347803:0.311897:0.176849)	NA	NA	NA	NA
Cd36_85480,orf19.6986	NG	0.127132	0.40634	0.312871	1.01713e-20	2127	423.149	1703.85	NA	332	132.75	199.25	NA	NA	0.182678	1:1:1:1:1:1	0.261809(0.377005:0.243316:0.165107)	NA	NA	NA	NA
Cd36_85490,orf19.6987	NG	0.0236608	0.259674	0.0911173	6.79259e-49	2550	553.559	1996.44	NA	168	121.5	46.5	NA	NA	0.074895	1:1:1:1:1:1	0.316284(0.44023:0.331034:0.177586)	NA	NA	NA	NA
Cd36_85500,orf19.6988	NG	0.0164386	0.280978	0.0585049	3.12715e-34	1410	302.971	1107.03	NA	89	71	18	NA	NA	0.0732809	1:1:1:1:1:1	0.298582(0.404255:0.289362:0.202128)	NA	NA	NA	NA
Cd36_85510,orf19.6989	NG	0.0281811	0.350154	0.080482	3.27949e-09	321	67.9106	253.089	NA	26	19	7	NA	NA	0.0962975	1:1:1:1:1:1	0.291277(0.373832:0.275701:0.224299)	NA	NA	NA	NA
Cd36_85520,orf19.6990	NG	0.0684414	0.309429	0.221187	9.63277e-11	789	177.486	611.514	NA	85	45	40	NA	NA	0.122652	1:1:1:1:1:1	0.34596(0.471591:0.340909:0.225379)	NA	NA	NA	NA
Cd36_85530,orf19.6991	NG	0.0101908	0.116722	0.087308	2.2326e-07	642	148.021	493.979	NA	21	16	5	NA	NA	0.0347529	1:1:1:1:1:1	0.32866(0.439252:0.413551:0.133178)	NA	NA	NA	NA
Cd36_85540,orf19.6992	NG	0.0325369	0.511591	0.0635994	7.09382e-60	1509	362.688	1146.31	NA	171	134.5	36.5	NA	NA	0.147677	1:1:1:1:1:1	0.364087(0.396825:0.422619:0.272817)	NA	NA	NA	NA
Cd36_85550,orf19.6993	NG	0.0155017	0.211927	0.0731466	4.50845e-24	1281	303.331	977.669	NA	71	56	15	NA	NA	0.0620137	1:1:1:1:1:1	0.343254(0.397959:0.370748:0.261054)	NA	NA	NA	NA
Cd36_85560,orf19.6994	NG	0.00585468	0.227559	0.0257282	4.30163e-28	1107	249.645	857.355	NA	54	49	5	NA	NA	0.0558523	1:1:1:1:1:1	0.378049(0.460705:0.422764:0.250678)	NA	NA	NA	NA
Cd36_85570,orf19.6995	NG	0.0468592	0.450082	0.104113	6.08488e-25	840	190.582	649.418	NA	94	64.5	29.5	NA	NA	0.138344	1:1:1:1:1:1	0.37841(0.441281:0.400356:0.293594)	NA	NA	NA	NA
Cd36_85580,orf19.6996	NG	0.0638421	0.506794	0.125972	8.92699e-51	1974	394.488	1579.51	NA	242	145.333	96.6667	NA	NA	0.152363	1:1:1:1:1:1	0.311679(0.378102:0.3:0.256934)	NA	NA	NA	NA
Cd36_85590,orf19.6997	NG	0.0416101	0.475112	0.0875796	9.72131e-28	840	189.424	650.576	NA	93	66.6667	26.3333	NA	NA	0.139367	1:1:1:1:1:1	0.346382(0.448399:0.398577:0.192171)	NA	NA	NA	NA
Cd36_85600,orf19.6998	NG	0.0395253	0.280804	0.140758	2.08246e-13	768	155.476	612.524	NA	60	36.4167	23.5833	NA	NA	0.0883706	1:1:1:1:1:1	0.273408(0.411985:0.2603:0.14794)	NA	NA	NA	NA
Cd36_85610,orf19.6999	NG	0.0430636	0.345028	0.124812	2.56113e-27	1275	275.413	999.587	NA	118	76.1667	41.8333	NA	NA	0.108291	1:1:1:1:1:1	0.31338(0.451878:0.36385:0.124413)	NA	NA	NA	NA
Cd36_85620,orf19.7001	NG	0.0258939	0.328222	0.0788915	3.36016e-37	1485	312.861	1172.14	NA	113	83.1667	29.8333	NA	NA	0.0895887	1:1:1:1:1:1	0.341983(0.527944:0.354291:0.143713)	NA	NA	NA	NA
Cd36_85630,orf19.7347	NG	0.077376	0.372038	0.207979	1.28092e-11	723	149.448	573.552	NA	86	43.8333	42.1667	NA	NA	0.138284	1:1:1:1:1:1	0.315501(0.5:0.31893:0.127572)	NA	NA	NA	NA
Cd36_85640,orf19.7349	NG	0.0355552	0.354212	0.100378	8.67271e-53	2211	485.565	1725.43	NA	197	137.083	59.9167	NA	NA	0.105536	1:1:1:1:1:1	0.319041(0.432058:0.384565:0.140501)	NA	NA	NA	NA
Cd36_85650,orf19.7350	NG	0.0823626	0.405182	0.203273	2.00592e-09	486	111.006	374.994	NA	64	34.75	29.25	NA	NA	0.156097	1:1:1:1:1:1	0.389456(0.558673:0.466837:0.142857)	NA	NA	NA	NA
Cd36_85660,orf19.7353	NG	0.0509167	0.347516	0.146516	4.82527e-52	2796	608.844	2187.16	NA	277	169.333	107.667	NA	NA	0.115503	1:1:1:1:1:1	0.309499(0.399898:0.346272:0.182329)	NA	NA	NA	NA
Cd36_85670,orf19.7354	NG	0.0352416	0.276221	0.127585	3.61253e-22	1272	255.339	1016.66	NA	94	59	35	NA	NA	0.0836154	1:1:1:1:1:1	0.276404(0.37191:0.285393:0.17191)	NA	NA	NA	NA
Cd36_85680,orf19.7355	NG	0.0516643	0.410723	0.125789	8.56899e-30	1278	259.807	1018.19	NA	133	82.1667	50.8333	NA	NA	0.124658	1:1:1:1:1:1	0.274157(0.360674:0.280899:0.180899)	NA	NA	NA	NA
Cd36_85690,orf19.7356	NG	0.127206	0.671979	0.1893	1.72027e-08	282	61.208	220.792	NA	53	27.1667	25.8333	NA	NA	0.245448	1:1:1:1:1:1	0.284226(0.339286:0.25:0.263393)	NA	NA	NA	NA
Cd36_85700,orf19.7357	NG	0.015293	0.339935	0.044988	1.50795e-19	618	122.563	495.437	NA	41	33.5	7.5	NA	NA	0.0796766	1:1:1:1:1:1	0.2383(0.353868:0.237822:0.123209)	NA	NA	NA	NA
Cd36_85710,orf19.7358	NG	0.0727344	0.38898	0.186988	4.30848e-25	1494	305.049	1188.95	NA	175	92.5833	82.4167	NA	NA	0.137306	1:1:1:1:1:1	0.250656(0.349409:0.271654:0.130906)	NA	NA	NA	NA
Cd36_85720,orf19.7359	NG	0.0611741	0.524237	0.116692	8.60727e-61	2106	456.234	1649.77	NA	269	172.083	96.9167	NA	NA	0.16149	1:1:1:1:1:1	0.348937(0.436228:0.384668:0.225916)	NA	NA	NA	NA
Cd36_85730,orf19.7360	NG	0.107291	0.473394	0.226642	7.44902e-07	357	76.916	280.084	NA	55	27	28	NA	NA	0.186168	1:1:1:1:1:1	0.295833(0.283333:0.4125:0.191667)	NA	NA	NA	NA
Cd36_85740,orf19.7361	NG	0.0856998	0.564559	0.1518	4.19615e-34	1359	278.551	1080.45	NA	198	110.5	87.5	NA	NA	0.18385	1:1:1:1:1:1	0.305438(0.404661:0.291314:0.220339)	NA	NA	NA	NA
Cd36_85750,orf19.7362	NG	0.0410241	0.456472	0.0898721	3.01139e-65	2190	472.078	1717.92	NA	230	161.417	68.5833	NA	NA	0.130578	1:1:1:1:1:1	0.333996(0.427719:0.39191:0.182361)	NA	NA	NA	NA
Cd36_85760,orf19.7363	NG	0.0333744	0.646255	0.0516428	1.04525e-100	2163	467.881	1695.12	NA	258	202.667	55.3333	NA	NA	0.165947	1:1:1:1:1:1	0.362613(0.433108:0.42027:0.234459)	NA	NA	NA	NA
Cd36_85770,orf19.7364	NG	0.0339609	0.454509	0.07472	1.0873e-51	1569	344.229	1224.77	NA	158	117.333	40.6667	NA	NA	0.126227	1:1:1:1:1:1	0.320274(0.478545:0.339552:0.142724)	NA	NA	NA	NA
Cd36_85780,orf19.7365	NG	0.0546346	0.578826	0.0943887	1.61466e-53	1656	324.364	1331.64	NA	201	130.833	70.1667	NA	NA	0.157309	1:1:1:1:1:1	0.267536(0.32087:0.263478:0.218261)	NA	NA	NA	NA
Cd36_85790,orf19.7366	NG	0.0712708	0.336114	0.212043	6.60712e-14	1023	199.34	823.66	NA	110	54	56	NA	NA	0.122878	1:1:1:1:1:1	0.276995(0.367606:0.294366:0.169014)	NA	NA	NA	NA
Cd36_85800,orf19.7367	NG	0.0545241	0.481039	0.113347	1.68941e-61	2277	476.89	1800.11	NA	264	169.333	94.6667	NA	NA	0.143853	1:1:1:1:1:1	0.291459(0.373756:0.327736:0.172886)	NA	NA	NA	NA
Cd36_85810,orf19.7368	NG	0.0250795	0.493591	0.0508103	1.1224e-57	1491	315.237	1175.76	NA	143	114	29	NA	NA	0.124135	1:1:1:1:1:1	0.385621(0.540196:0.364706:0.251961)	NA	NA	NA	NA
Cd36_85820,orf19.7369	NG	0.0711675	0.485563	0.146567	3.28062e-28	1233	246.186	986.814	NA	155	88	67	NA	NA	0.153908	1:1:1:1:1:1	0.298727(0.353222:0.297136:0.245823)	NA	NA	NA	NA
Cd36_85830,orf19.7370	NG	0.0338795	0.323911	0.104595	4.05849e-22	978	215.75	762.25	NA	82	56.75	25.25	NA	NA	0.0978616	1:1:1:1:1:1	0.322736(0.382948:0.384393:0.200867)	NA	NA	NA	NA
Cd36_85840,orf19.7371	NG	0.0736793	0.689242	0.106899	7.56253e-112	3252	679.89	2572.11	NA	487	306.5	180.5	NA	NA	0.202374	1:1:1:1:1:1	0.330157(0.396098:0.323956:0.270417)	NA	NA	NA	NA
Cd36_85850,orf19.7372	NG	0.0461281	0.632902	0.0728835	7.59178e-131	3300	695.96	2604.04	NA	414	297.5	116.5	NA	NA	0.169877	1:1:1:1:1:1	0.350632(0.406588:0.33574:0.309567)	NA	NA	NA	NA
Cd36_85860,orf19.7374	NG	0.0345308	0.648302	0.0532635	1.10382e-137	3027	641.671	2385.33	NA	359	278.5	80.5	NA	NA	0.16464	1:1:1:1:1:1	0.357915(0.411013:0.343166:0.319567)	NA	NA	NA	NA
Cd36_85870,orf19.7375	NG	0.0548731	0.425084	0.129088	1.62673e-15	612	123.785	488.215	NA	66	40.1667	25.8333	NA	NA	0.129753	1:1:1:1:1:1	0.298519(0.373333:0.251111:0.271111)	NA	NA	NA	NA
Cd36_85880,orf19.7376	NG	0.0829213	0.507986	0.163235	1.74796e-51	2286	494.107	1791.89	NA	323	182.333	140.667	NA	NA	0.174797	1:1:1:1:1:1	0.330712(0.385321:0.325033:0.281782)	NA	NA	NA	NA
Cd36_85890,orf19.7377	NG	0.0524164	0.610904	0.0858013	8.51377e-98	2712	565.57	2146.43	NA	345	236.333	108.667	NA	NA	0.168885	1:1:1:1:1:1	0.334989(0.406181:0.313466:0.28532)	NA	NA	NA	NA
Cd36_85900,orf19.7378	NG	0.0602558	0.678181	0.0888492	3.68147e-63	1602	358.452	1243.55	NA	232	160	72	NA	NA	0.198518	1:1:1:1:1:1	0.394383(0.478938:0.413919:0.290293)	NA	NA	NA	NA
Cd36_85910,orf19.7379	NG	0.0460112	0.559809	0.0821908	3.26801e-80	2262	491.822	1770.18	NA	273	194	79	NA	NA	0.157725	1:1:1:1:1:1	0.352318(0.428477:0.352318:0.276159)	NA	NA	NA	NA
Cd36_85920,orf19.7380	NG	0.157577	0.579457	0.271939	5.02019e-35	2250	520.878	1729.12	NA	456	210.25	245.75	NA	NA	0.255243	1:1:1:1:1:1	0.386228(0.471856:0.417365:0.269461)	NA	NA	NA	NA
Cd36_85930,orf19.7381	NG	0.0897762	0.611569	0.146796	7.77198e-51	1872	400.563	1471.44	NA	292	167.5	124.5	NA	NA	0.201427	1:1:1:1:1:1	0.324451(0.38558:0.315831:0.271944)	NA	NA	NA	NA
Cd36_85940,orf19.7382	NG	0.0171726	0.284306	0.0604019	1.03826e-30	1236	264.126	971.874	NA	79	62.5	16.5	NA	NA	0.0742576	1:1:1:1:1:1	0.364482(0.449029:0.356796:0.287621)	NA	NA	NA	NA
Cd36_85950,orf19.7383	NG	0.0150402	0.448798	0.0335121	1.51097e-44	1104	230.953	873.047	NA	91	78	13	NA	NA	0.105781	1:1:1:1:1:1	0.349638(0.402174:0.33288:0.313859)	NA	NA	NA	NA
Cd36_85960,orf19.7384	NG	0.0046302	0.331048	0.0139865	2.59708e-69	1920	403.516	1516.48	NA	115	108	7	NA	NA	0.0732317	1:1:1:1:1:1	0.338021(0.450781:0.3375:0.225781)	NA	NA	NA	NA
Cd36_85970,orf19.7385	NG	0.0985374	0.745155	0.132237	5.43736e-50	1497	331.003	1166	NA	264	156.333	107.667	NA	NA	0.241511	1:1:1:1:1:1	0.380013(0.453649:0.402367:0.284024)	NA	NA	NA	NA
Cd36_85980,orf19.7386	NG	0.0297089	0.392893	0.0756159	1.26192e-25	873	186.38	686.62	NA	77	57	20	NA	NA	0.107247	1:1:1:1:1:1	0.329944(0.377966:0.344068:0.267797)	NA	NA	NA	NA
Cd36_85990,orf19.7387	NG	0.00156822	0.489592	0.00320312	7.10865e-92	1641	364.338	1276.66	NA	133	131	2	NA	NA	0.10992	1:1:1:1:1:1	0.365326(0.464351:0.379342:0.252285)	NA	NA	NA	NA
Cd36_86000,orf19.7388	NG	0.0254819	0.462739	0.0550676	2.39259e-60	1608	370.667	1237.33	NA	159	128	31	NA	NA	0.126276	1:1:1:1:1:1	0.376758(0.459633:0.394495:0.276147)	NA	NA	NA	NA
Cd36_86010,orf19.7389	NG	0.0878472	0.608233	0.14443	7.98414e-131	4884	1051.96	3832.04	NA	756	438.333	317.667	NA	NA	0.199933	1:1:1:1:1:1	0.346924(0.409565:0.316064:0.315144)	NA	NA	NA	NA
Cd36_86020,orf19.7391	NG	0.0279382	0.403361	0.0692634	9.54146e-35	1152	240.398	911.602	NA	100	75	25	NA	NA	0.106281	1:1:1:1:1:1	0.34329(0.442857:0.328571:0.258442)	NA	NA	NA	NA
Cd36_86030,orf19.7392	NG	0.0213621	0.276521	0.0772531	1.64608e-44	1995	451.847	1543.15	NA	137	104.5	32.5	NA	NA	0.0791531	1:1:1:1:1:1	0.416914(0.466617:0.451039:0.333086)	NA	NA	NA	NA
Cd36_86040,orf19.7393	NG	0.0396533	0.425006	0.0933006	1.033e-51	1776	403.769	1372.23	NA	184	131	53	NA	NA	0.127262	1:1:1:1:1:1	0.364042(0.422948:0.424623:0.244556)	NA	NA	NA	NA
Cd36_86050,orf19.7394	NG	0.0367978	0.328855	0.111897	1.88547e-38	1779	391.259	1387.74	NA	154	104.167	49.8333	NA	NA	0.10103	1:1:1:1:1:1	0.360833(0.4725:0.365:0.245)	NA	NA	NA	NA
Cd36_86070,orf19.7396	NG	0.0672836	0.441916	0.152254	5.06371e-25	1200	236.576	963.424	NA	141	79	62	NA	NA	0.141141	1:1:1:1:1:1	0.307661(0.372861:0.248166:0.301956)	NA	NA	NA	NA
Cd36_86080,orf19.7397	NG	0.0518819	0.488737	0.106155	3.76154e-91	3264	690.594	2573.41	NA	377	248	129	NA	NA	0.144311	1:1:1:1:1:1	0.364107(0.403108:0.363346:0.325868)	NA	NA	NA	NA
Cd36_86090,orf19.7398	NG	0.00263917	0.267869	0.00985244	7.35801e-17	495	115.425	379.575	NA	27	26	1	NA	NA	0.0644861	1:1:1:1:1:1	0.336526(0.37931:0.308429:0.321839)	NA	NA	NA	NA
Cd36_86100,orf19.7422	NG	0.0744637	0.576745	0.12911	3.44576e-33	1089	243.752	845.248	NA	158	98.0833	59.9167	NA	NA	0.18689	1:1:1:1:1:1	0.404274(0.457692:0.35:0.405128)	NA	NA	NA	NA
Cd36_86110,orf19.7421	NG	0.0196613	0.300539	0.0654202	2.46376e-16	609	136.634	472.366	NA	43	33.8333	9.16667	NA	NA	0.0826782	1:1:1:1:1:1	0.430818(0.462264:0.353774:0.476415)	NA	NA	NA	NA
Cd36_86120,orf19.7420	NG	0.0354443	0.442812	0.0800438	1.42648e-25	786	179.411	606.589	NA	81	60	21	NA	NA	0.128429	1:1:1:1:1:1	0.442332(0.439163:0.397338:0.490494)	NA	NA	NA	NA
Cd36_86130,orf19.7419	NG	0.0462435	0.476031	0.0971438	6.57834e-17	540	116.334	423.666	NA	60	41	19	NA	NA	0.138834	1:1:1:1:1:1	0.462963(0.508333:0.302778:0.577778)	NA	NA	NA	NA
Cd36_86140,orf19.7417	NG	0.00551043	0.296656	0.0185752	5.95122e-21	588	132.646	455.354	NA	35	32.5	2.5	NA	NA	0.0711894	1:1:1:1:1:1	0.44898(0.494898:0.377551:0.47449)	NA	NA	NA	NA
Cd36_86150,orf19.7400	NG	0.265647	0.688032	0.386096	6.30521e-47	4701	1126.96	3574.04	NA	1307	507.5	799.5	NA	NA	0.366904	1:1:1:1:1:1	0.271501(0.245583:0.356727:0.212192)	NA	NA	NA	NA
Cd36_86170,orf19.7401	NG	0.0160318	0.506013	0.0316826	2.6182e-139	3162	661.21	2500.79	NA	283	243.333	39.6667	NA	NA	0.118492	1:1:1:1:1:1	0.350852(0.461174:0.304924:0.286458)	NA	NA	NA	NA
Cd36_86180,orf19.7402	NG	0.0882007	0.514475	0.171438	1.53776e-85	4026	854.379	3171.62	NA	582	318.083	263.917	NA	NA	0.178663	1:1:1:1:1:1	0.354476(0.430638:0.316766:0.316024)	NA	NA	NA	NA
Cd36_86190,orf19.7403	NG	0.0453279	0.487703	0.0929416	5.305e-68	2253	479.681	1773.32	NA	250	172	78	NA	NA	0.139513	1:1:1:1:1:1	0.360408(0.434088:0.336884:0.310253)	NA	NA	NA	NA
Cd36_86200,orf19.7404	NG	0.0346214	0.449982	0.0769396	6.3673e-33	996	227.554	768.446	NA	103	77	26	NA	NA	0.129518	1:1:1:1:1:1	0.409639(0.506024:0.35994:0.362952)	NA	NA	NA	NA
Cd36_86210,orf19.7405	NG	0.0541193	0.520299	0.104016	9.87624e-22	702	146.581	555.419	NA	84	55	29	NA	NA	0.15146	1:1:1:1:1:1	0.346154(0.435897:0.277778:0.324786)	NA	NA	NA	NA
Cd36_86220,orf19.7406	NG	0.0795351	0.517191	0.153783	1.35923e-46	2058	414.812	1643.19	NA	279	155	124	NA	NA	0.167749	1:1:1:1:1:1	0.331633(0.357872:0.311953:0.325073)	NA	NA	NA	NA
Cd36_86230,orf19.7409	NG	0.0220924	0.396158	0.0557665	5.70898e-23	645	139.721	505.279	NA	54	43	11	NA	NA	0.103123	1:1:1:1:1:1	0.364341(0.465116:0.327907:0.3)	NA	NA	NA	NA
Cd36_86240,orf19.7409.1	NG	NA	0.271105	-0	NA	210	43.9535	166.047	NA	10	10	NA	NA	NA	0.0567429	1:1:1:1:1:1	0.354762(0.342857:0.428571:0.292857)	NA	NA	NA	NA
Cd36_86250,orf19.7410	NG	0.0412382	0.565614	0.0729086	1.58817e-114	3102	659.629	2442.37	NA	360	262	98	NA	NA	0.152745	1:1:1:1:1:1	0.353804(0.40087:0.318182:0.34236)	NA	NA	NA	NA
Cd36_86260,orf19.7411	NG	0.0325408	0.411752	0.0790301	1.03514e-31	1050	233.545	816.455	NA	100	74	26	NA	NA	0.116886	1:1:1:1:1:1	0.395238(0.414286:0.407143:0.364286)	NA	NA	NA	NA
Cd36_86270,orf19.7412	NG	0.0379892	0.51967	0.0731025	4.62188e-76	2169	454.782	1714.22	NA	234	170.5	63.5	NA	NA	0.138985	1:1:1:1:1:1	0.369714(0.435198:0.351296:0.322647)	NA	NA	NA	NA
Cd36_86280,orf19.7413	NG	0.0671914	0.457668	0.146813	2.06951e-19	816	178.062	637.938	NA	102	61	41	NA	NA	0.152398	1:1:1:1:1:1	0.325368(0.474265:0.283088:0.21875)	NA	NA	NA	NA
Cd36_86290,orf19.7414	NG	0.139746	0.481785	0.29006	7.17379e-52	3957	975.936	2981.06	NA	727	346.917	380.083	NA	NA	0.224105	1:1:1:1:1:1	0.353503(0.328025:0.475391:0.257093)	NA	NA	NA	NA
Cd36_86310,orf19.7417	NG	0.00551043	0.296656	0.0185752	5.95122e-21	588	132.646	455.354	NA	35	32.5	2.5	NA	NA	0.0711894	1:1:1:1:1:1	0.44898(0.494898:0.377551:0.47449)	NA	NA	NA	NA
Cd36_86320,orf19.7419	NG	0.0437372	0.476031	0.0918789	2.45776e-17	540	116.334	423.666	NA	59	41	18	NA	NA	0.136868	1:1:1:1:1:1	0.462963(0.508333:0.302778:0.577778)	NA	NA	NA	NA
Cd36_86330,orf19.7420	NG	0.0354443	0.442812	0.0800438	1.42648e-25	786	179.411	606.589	NA	81	60	21	NA	NA	0.128429	1:1:1:1:1:1	0.442332(0.439163:0.397338:0.490494)	NA	NA	NA	NA
Cd36_86340,orf19.7421	NG	0.0196629	0.289591	0.0678989	1.07898e-15	609	136.672	472.328	NA	42	32.8333	9.16667	NA	NA	0.0802405	1:1:1:1:1:1	0.430031(0.462264:0.353774:0.474057)	NA	NA	NA	NA
Cd36_86350,orf19.7422	NG	0.0946953	0.569757	0.166203	5.29785e-28	1119	249.706	869.294	NA	177	99.6667	77.3333	NA	NA	0.200706	1:1:1:1:1:1	0.394566(0.441606:0.346715:0.395377)	NA	NA	NA	NA
Cd36_86360,orf19.7424	NG	0.00164378	0.308464	0.00532893	5.94162e-30	783	173.981	609.019	NA	45	44	1	NA	NA	0.0698185	1:1:1:1:1:1	0.412516(0.469349:0.375479:0.39272)	NA	NA	NA	NA
